New Run at  08/08/2018 22:53:11
, Time, RandomReward; M_LinUCBReward, ClusterID;UserID;M_LinUCBModelUsed,
data,1212271200000,25;4987;125.0,158;13
data,1212271200000,25;356;126.0,158;13
data,1212271200000,25;8942;127.0,158;13
data,1212271200000,26;7574;127.0,158;13
data,1212271200000,26;8957;128.0,158;13
data,1212271200000,26;3859;128.0,158;13
data,1212271200000,26;8973;129.0,158;13
data,1212271200000,26;7318;130.0,158;13
data,1212271200000,26;3779;131.0,158;13
data,1212271200000,26;6968;132.0,158;13
data,1212271200000,26;4389;132.0,158;13
data,1212271200000,26;7208;133.0,158;13
data,1212271200000,26;2622;133.0,158;13
data,1214863200000,26;2909;133.0,158;13
data,1214863200000,26;2229;134.0,158;13
data,1214863200000,26;8311;134.0,158;13
data,1214863200000,26;4686;134.0,158;13
data,1214863200000,27;175;134.0,158;13
data,1217541600000,27;9072;134.0,158;13
data,1217541600000,27;3696;134.0,158;13
data,1217541600000,27;4551;134.0,158;13
data,1217541600000,27;2199;135.0,158;13
data,1217541600000,27;8203;135.0,158;13
data,1217541600000,27;4098;135.0,158;13
data,1217541600000,28;222;135.0,158;13
data,1217541600000,28;8111;136.0,158;13
data,1217541600000,28;9126;137.0,158;13
data,1217541600000,28;9132;137.0,158;13
